Name,Densities,Leakage,Reservoir thickness (Gross),Seal thickness,Depth,Temperature,Pressure,Trapmech_structural,Trapmech_stratigraphic,Structural_fault,Structural_anticline,Faultbound_yes,Faultbound_nan,Res_sandstone,Res_carbonates,Res_other,Carbonate_limestone,Carbonate_dolomite,Seal_shale,Seal_evaporite,Seal_other,Stacked_yes,Stacked_nan
Jackson Dome,654.6,0.0,214.4,900.0,4660.0,150.0,491.6,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
El Trapial Field,141.0,0.0,163.4,210.0,1234.0,56.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0.4,0.0,1.0
Messokampos,0.9,1.0,260.0,10.0,500.0,25.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Budafa Field,451.6,0.0,100.0,420.0,3300.0,164.0,295.0,1.0,0.2,0.4,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,1.0,0.0
DF1-1 Field,378.3,0.0,190.4,210.0,1365.0,70.0,129.2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
LD28-1 Field,562.1,0.0,128.7,310.0,1655.0,74.50999999999999,168.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LD15-1 Field,555.5,0.0,128.7,310.0,1650.5,74.9885,168.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
New Plymouth Area,79.0,2.0,196.0,162.0,467.5,32.64,52.54,0.8,0.6,0.4,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Moxa arch,798.7,0.0,350.0,200.0,4250.0,111.5,475.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
McElmo Dome,789.2,0.0,90.0,276.0,2375.0,80.5,240.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Quebrache Field ,122.7,0.0,90.0,400.0,1000.0,56.0,82.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Vorderrhön,116.9,0.0,300.0,162.0,730.0,27.5,57.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Benevento Field,621.2,0.0,1432.0,600.0,2715.0,100.4,271.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Monte Taburno Reservoir,571.3,2.0,280.0,300.0,2600.0,142.1,345.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Muscillo Reservoir,138.4,0.0,100.0,300.0,694.0,55.5,63.0,1.0,0.4,0.6,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Acerno Reservoir,919.3,0.0,192.0,340.0,4262.0,81.0,618.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.4,0.0,0.0,0.0
Ping Fang Wang Field,470.5,0.0,100.0,100.0,1470.0,70.0,138.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nong'ancun Field,506.4,0.0,300.0,500.0,3187.5,147.5,325.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Natuna D-Alpha Block,845.4,0.0,1500.0,3000.0,3000.0,87.66704310344828,410.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Caroline,665.5,0.0,80.0,200.0,2904.0,86.0,256.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kapuni Field,786.6,0.0,468.0,900.0,3500.0,110.0,455.0,1.0,0.4,0.4,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0
Battle Creek,694.2,0.0,180.0,200.0,1645.0,55.0,165.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Prudhoe Bay 01-13,672.7,0.0,397.4,410.0,2819.5,90.0,311.2,1.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4
Khairpur,464.0,0.0,73.0,240.0,638.0,32.0,75.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Yemahnuang,417.9,0.0,200.0,300.0,1808.0,94.0,186.0,0.8,0.2,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
St. Johns Dome,182.3,1.0,200.0,300.0,600.0,39.5,61.7,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Sheep Mountain,369.8,0.0,150.0,230.0,1200.0,55.0,119.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Farnham Dome,194.7,1.0,100.0,100.0,900.0,41.0,70.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Gordon Creek  White Rim,700.3,0.0,200.0,340.0,3900.0,88.0,290.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Bravo Dome,269.8,0.0,120.0,240.0,710.0,41.0,80.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
JM- Brown Bassett Field,627.3,0.0,397.4,410.0,2800.0,100.0,274.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Montmiral,723.7,2.0,80.0,500.0,2400.0,100.0,360.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Fizzy Field,615.7,0.0,100.0,400.0,2300.0,82.5,209.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
