Lat,Long,Leakage,Fault bound/sealed?
32.40694444,-89.83972222,No,NA
34.26111111,-109.1647222,Yes,Yes
42.45472222,-110.2480556,No,No
37.69972222,-105.1969444,No,Yes
39.51916667,-110.6336111,Yes,Yes
39.59611111,-111.0691667,No,Yes
37.35305556,-108.6169444,No,No
36.08333333,-103.7983333,No,Yes
30.05027778,-101.3930556,No,Yes
-37.41666667,-70.16583333,No,NA
22.11666667,-98.02055556,No,No
45.15305556,5.148611111,Inconclusive,Yes
40.90583333,21.49777778,Yes,NA
53.01055556,3.133333333,No,Yes
50.77277778,10.08416667,No,No
42.59,11.80333333,Yes,Yes
41.205,14.94611111,No,No
41.10305556,14.61277778,Inconclusive,No
40.82916667,15.9475,No,No
40.74194444,15.04194444,No,No
43.65722222,12.01583333,Yes,Yes
41.00472222,15.09888889,Yes,Yes
52.52222222,8.842222222,No,Yes
46.8525,16.62444444,No,NA
47.45388889,17.06388889,No,Yes
38.69166667,117.1377778,No,Yes
38.78416667,118.2083333,No,Yes
38.80083333,117.175,No,Yes
36.8611,117.566,No,Yes
37.36861111,117.9941667,No,No
37.59583333,117.6875,No,Yes
38.03111111,117.8255556,No,Yes
37.25888889,117.9969444,No,Yes
36.79611,117.9075,No,Yes
32.15638889,120.1716667,No,Yes
19.88222222,110.6086111,No,Yes
44.56277778,125.2302778,No,Yes
44.88777778,124.1827778,No,Yes
44.4875,125.1526,No,No
44.56777778,123.9136111,No,Yes
18.49111111,107.5525,No,NA
17.31666667,108.6991667,No,NA
17.63277778,108.5972222,No,NA
5.398333333,109.5758333,No,No
-37.49222222,140.8266667,No,Yes
-37.94166,140.90833,No,Yes
-38.27583333,148.4919444,No,No
-39.48388889,174.4838889,No,NA
-39.05027778,174.065,Inconclusive,No
-38.319167,142.8758,No ,
-37.575,140.68,No ,
-38.526,142.82,No ,
44.78,125.33,No,
49.2,-109.4,No,
70.19,-148.34,No,
1.07,30.36,No,
27.51,68.71,No,
13.1,96.52,No,
20,112,No,
18.37,107.95,No,
17.62,108.7,No,
